4,9,10,13,32,33,37
6,16,28,30,31,35,2
7,9,29,34,36,39,16
13,25,28,29,30,39,21
1,3,11,15,17,39,34
2,4,15,16,29,33,39
20,25,29,37,38,39,28
1,6,7,12,20,42,35
7,12,19,20,24,36,26
2,10,15,23,30,32,36
6,20,29,35,38,40,41
12,20,30,32,35,40,34
4,10,14,23,29,39,36
4,5,14,21,27,40,12
8,12,16,26,34,36,5
5,10,13,15,29,36,1
2,5,9,16,25,32,7
6,9,21,27,31,32,2
5,18,25,26,35,42,29
19,21,22,25,31,34,13
13,20,26,30,32,37,4
7,10,14,17,27,37,28
6,20,21,26,36,37,27
12,14,15,24,36,39,1
10,12,17,21,22,29,25
5,6,9,24,27,39,15
1,2,4,7,8,18,9
15,19,22,23,33,34,20
11,23,31,33,36,37,34
7,15,17,18,28,36,8
21,25,26,33,37,41,20
7,15,17,27,30,42,5
2,9,18,20,27,36,4
2,14,21,23,27,32,35
3,4,12,19,32,35,29
6,10,19,22,27,34,7
18,19,27,34,39,41,40
8,11,14,24,31,36,23
10,15,16,26,27,42,3
13,18,19,28,34,38,9
13,21,23,27,29,41,17
4,11,14,15,20,41,10
9,13,30,32,35,37,28
1,2,6,21,28,37,31
4,8,11,26,33,39,37
4,5,12,37,39,41,27
6,12,13,22,32,33,25
8,12,17,25,27,28,30
1,5,9,18,19,31,37
11,12,15,23,37,38,31
1,8,12,15,19,20,17
1,2,8,20,29,40,17
5,7,18,19,26,29,33
1,2,9,27,37,39,26
3,8,9,17,21,42,41
16,22,26,30,33,34,3
3,13,30,34,38,40,35
4,17,29,33,35,40,12
3,4,12,17,22,31,7
10,12,21,24,27,33,7
12,13,17,28,31,34,27
8,20,29,35,38,42,31
4,10,15,18,24,36,1
8,9,17,21,28,38,15
23,24,30,31,34,41,42
3,14,34,38,39,42,26
1,7,8,15,21,26,10
7,8,14,16,20,23,13
11,16,19,24,32,41,39
3,11,18,20,28,40,12
15,20,22,30,31,35,14
11,17,34,40,41,42,33
2,8,17,25,26,39,13
7,22,23,28,32,40,25
15,17,22,28,33,37,41
2,5,23,28,37,40,29
1,6,9,14,30,38,34
7,19,20,29,32,35,30
7,8,15,19,34,41,33
1,10,24,34,39,41,42
5,11,12,25,33,40,1
9,10,30,34,39,41,26
4,6,7,21,26,40,35
4,14,26,27,32,37,12
11,13,25,31,32,41,21
9,18,21,24,38,41,32
3,31,32,33,37,40,30
11,20,30,32,34,41,39
12,20,23,35,36,42,7
9,12,13,18,21,26,3
7,19,20,33,39,40,5
4,19,27,33,34,41,11
1,10,18,25,41,42,11
1,4,11,13,18,39,10
8,13,21,28,30,35,27
